Item,Fixation,Con Target Region,Incon Target Region
81,Middle,Upper,Upper
81,Middle,Upper,Upper
81,Middle,Upper,Upper
1,Middle,Lower,Middle
1,Middle,Lower,Middle
1,Lower,Lower,Middle
1,Lower,Lower,Middle
91,Middle,Upper,Middle
91,Middle,Upper,Middle
91,Upper,Upper,Middle
101,Middle,Upper,Middle
101,Middle,Upper,Middle
101,Upper,Upper,Middle
101,Upper,Upper,Middle
101,Upper,Upper,Middle
101,Upper,Upper,Middle
31,Middle,Lower,Upper
31,Middle,Lower,Upper
31,Middle,Lower,Upper
31,Lower,Lower,Upper
31,Lower,Lower,Upper
11,Middle,Lower,Middle
11,Lower,Lower,Middle
11,Lower,Lower,Middle
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Lower,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Upper,Middle,Upper
41,Upper,Middle,Upper
41,Upper,Middle,Upper
41,Upper,Middle,Upper
41,Middle,Middle,Upper
111,Middle,Upper,Lower
111,Upper,Upper,Lower
111,Upper,Upper,Lower
111,Upper,Upper,Lower
71,Middle,Middle,Lower
71,Middle,Middle,Lower
71,Middle,Middle,Lower
71,Middle,Middle,Lower
71,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
51,Upper,Middle,Lower
51,Upper,Middle,Lower
51,Upper,Middle,Lower
51,Middle,Middle,Lower
51,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
61,Middle,Middle,Lower
21,Middle,Lower,Upper
21,Middle,Lower,Upper
21,Lower,Lower,Upper
112,Middle,Upper,Lower
112,Middle,Upper,Lower
42,Middle,Middle,Upper
42,Middle,Middle,Upper
42,Middle,Middle,Upper
42,Middle,Middle,Upper
42,Middle,Middle,Upper
92,Middle,Upper,Lower
92,Middle,Upper,Lower
92,Upper,Upper,Lower
102,Middle,Upper,Lower
102,Upper,Upper,Lower
102,Upper,Upper,Lower
32,Lower,Lower,Upper
32,Lower,Lower,Upper
12,Middle,Lower,Middle
12,Lower,Lower,Middle
12,Lower,Lower,Middle
12,Lower,Lower,Middle
62,Middle,Middle,Lower
62,Middle,Middle,Lower
62,Middle,Middle,Lower
62,Middle,Middle,Lower
2,Middle,Lower,Middle
2,Middle,Lower,Middle
2,Middle,Lower,Middle
2,Middle,Lower,Middle
2,Middle,Lower,Middle
2,Lower,Lower,Middle
82,Middle,Upper,Middle
82,Upper,Upper,Middle
52,Middle,Middle,Upper
52,Middle,Middle,Upper
22,Middle,Lower,Middle
22,Middle,Lower,Middle
72,Middle,Middle,Upper
72,Middle,Middle,Upper
72,Middle,Middle,Upper
72,Middle,Middle,Upper
73,Middle,Middle,Upper
73,Middle,Middle,Upper
43,Middle,Middle,Lower
43,Middle,Middle,Lower
43,Middle,Middle,Lower
43,Upper,Middle,Lower
43,Middle,Middle,Lower
103,Middle,Upper,Lower
103,Upper,Upper,Lower
103,Middle,Upper,Lower
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Middle,Upper,Middle
83,Lower,Upper,Middle
83,Lower,Upper,Middle
63,Middle,Middle,Upper
63,Middle,Middle,Upper
63,Middle,Middle,Upper
63,Middle,Middle,Upper
3,Middle,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Middle,Lower,Middle
3,Lower,Lower,Middle
3,Middle,Lower,Middle
3,Middle,Lower,Middle
3,Upper,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Middle,Lower,Middle
3,Middle,Lower,Middle
3,Middle,Lower,Middle
3,Upper,Lower,Middle
3,Upper,Lower,Middle
3,Upper,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Lower,Lower,Middle
3,Middle,Lower,Middle
113,Middle,Upper,Middle
113,Middle,Upper,Middle
113,Upper,Upper,Middle
113,Middle,Upper,Middle
13,Middle,Lower,Middle
13,Middle,Lower,Middle
13,Middle,Lower,Middle
13,Lower,Lower,Middle
93,Middle,Upper,Lower
93,Lower,Upper,Lower
93,Lower,Upper,Lower
93,Upper,Upper,Lower
93,Upper,Upper,Lower
93,Upper,Upper,Lower
23,Middle,Lower,Upper
23,Lower,Lower,Upper
53,Middle,Middle,Upper
53,Middle,Middle,Upper
53,Middle,Middle,Upper
33,Middle,Lower,Upper
33,Lower,Lower,Upper
33,Lower,Lower,Upper
14,Middle,Lower,Middle
14,Middle,Lower,Middle
14,Lower,Lower,Middle
14,Lower,Lower,Middle
14,Lower,Lower,Middle
14,Lower,Lower,Middle
14,Lower,Lower,Middle
14,Lower,Lower,Middle
74,Middle,Middle,Lower
74,Middle,Middle,Lower
74,Middle,Middle,Lower
74,Middle,Middle,Lower
4,Middle,Lower,Upper
4,Middle,Lower,Upper
4,Middle,Lower,Upper
4,Lower,Lower,Upper
84,Middle,Upper,Lower
84,Middle,Upper,Lower
84,Upper,Upper,Lower
84,Upper,Upper,Lower
104,Upper,Upper,Middle
104,Upper,Upper,Middle
34,Lower,Lower,Middle
34,Lower,Lower,Middle
64,Middle,Middle,Upper
64,Middle,Middle,Upper
64,Middle,Middle,Upper
64,Middle,Middle,Upper
114,Upper,Upper,Lower
114,Upper,Upper,Lower
114,Upper,Upper,Lower
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
24,Middle,Lower,Upper
24,Middle,Lower,Upper
24,Middle,Lower,Upper
54,Middle,Middle,Lower
54,Lower,Middle,Lower
54,Middle,Middle,Lower
94,Middle,Upper,Lower
94,Upper,Upper,Lower
94,Upper,Upper,Lower
5,Middle,Lower,Upper
5,Lower,Lower,Upper
5,Lower,Lower,Upper
75,Middle,Middle,Middle
75,Middle,Middle,Middle
75,Middle,Middle,Middle
55,Middle,Middle,Upper
55,Upper,Middle,Upper
55,Middle,Middle,Upper
55,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
95,Middle,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
