Item,Scene Region,AOI
81,Middle,Irrelevant
81,Middle,Irrelevant
81,Middle,Irrelevant
1,Middle,Irrelevant
1,Middle,Irrelevant
1,Lower,Expected
1,Lower,"Expected, Target"
91,Middle,Irrelevant
91,Middle,Irrelevant
91,Upper,"Expected, Target"
101,Middle,Irrelevant
101,Middle,Irrelevant
101,Upper,Expected
101,Upper,Expected
101,Upper,Expected
101,Upper,"Expected, Target"
31,Middle,Irrelevant
31,Middle,Irrelevant
31,Middle,Irrelevant
31,Lower,Expected
31,Lower,"Expected, Target"
11,Middle,Irrelevant
11,Lower,Expected
11,Lower,"Expected, Target"
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,"Expected, Target"
41,Middle,Expected
41,Middle,Expected
41,Lower,Irrelevant
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Middle,Expected
111,Middle,Irrelevant
111,Upper,Expected
111,Upper,Expected
111,Upper,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,"Expected, Target"
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Upper,Irrelevant
51,Upper,Irrelevant
51,Upper,Irrelevant
51,Middle,Expected
51,Middle,"Expected, Target"
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
21,Middle,Irrelevant
21,Middle,Irrelevant
21,Lower,"Expected, Target"
112,Middle,Irrelevant
112,Middle,Irrelevant
42,Middle,Expected
42,Middle,Expected
42,Middle,Expected
42,Middle,"Expected, Target"
42,Middle,"Expected, Target"
92,Middle,Expected
92,Middle,Expected
92,Upper,"Irrelevant, Target"
102,Middle,Irrelevant
102,Upper,Expected
102,Upper,"Expected, Target"
32,Lower,Expected
32,Lower,"Expected, Target"
12,Middle,Irrelevant
12,Lower,Expected
12,Lower,Expected
12,Lower,"Expected, Target"
62,Middle,Irrelevant
62,Middle,Irrelevant
62,Middle,Irrelevant
62,Middle,Irrelevant
2,Middle,Irrelevant
2,Middle,Irrelevant
2,Middle,Irrelevant
2,Middle,Irrelevant
2,Middle,Irrelevant
2,Lower,"Expected, Target"
82,Middle,Irrelevant
82,Upper,Expected
52,Middle,Expected
52,Middle,Expected
22,Middle,Irrelevant
22,Middle,Irrelevant
72,Middle,Expected
72,Middle,"Expected, Target"
72,Middle,Expected
72,Middle,Expected
73,Middle,Expected
73,Middle,"Expected, Target"
43,Middle,Expected
43,Middle,Expected
43,Middle,Expected
43,Upper,Irrelevant
43,Middle,"Expected, Target"
103,Middle,Irrelevant
103,Upper,Expected
103,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Middle,Irrelevant
83,Lower,Irrelevant
83,Lower,Irrelevant
63,Middle,Expected
63,Middle,Expected
63,Middle,"Expected, Target"
63,Middle,"Expected, Target"
3,Middle,Irrelevant
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Middle,Irrelevant
3,Lower,Expected
3,Middle,Irrelevant
3,Middle,Irrelevant
3,Upper,Irrelevant
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Middle,Irrelevant
3,Middle,Irrelevant
3,Middle,Irrelevant
3,Upper,Irrelevant
3,Upper,Irrelevant
3,Upper,Irrelevant
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Lower,Expected
3,Middle,Irrelevant
113,Middle,Irrelevant
113,Middle,Irrelevant
113,Upper,Expected
113,Middle,Irrelevant
13,Middle,Irrelevant
13,Middle,Irrelevant
13,Middle,Irrelevant
13,Lower,Expected
93,Middle,Irrelevant
93,Lower,Irrelevant
93,Lower,Irrelevant
93,Upper,Expected
93,Upper,Expected
93,Upper,"Expected, Target"
23,Middle,Irrelevant
23,Lower,"Expected, Target"
53,Middle,Expected
53,Middle,"Expected, Target"
53,Middle,Expected
33,Middle,Irrelevant
33,Lower,Expected
33,Lower,"Expected, Target"
14,Middle,Irrelevant
14,Middle,Irrelevant
14,Lower,Expected
14,Lower,Expected
14,Lower,Expected
14,Lower,Expected
14,Lower,Expected
14,Lower,Expected
74,Middle,Expected
74,Middle,Expected
74,Middle,Expected
74,Middle,"Expected, Target"
4,Middle,Irrelevant
4,Middle,Irrelevant
4,Middle,Irrelevant
4,Lower,"Expected, Target"
84,Middle,Irrelevant
84,Middle,Irrelevant
84,Upper,Expected
84,Upper,"Expected, Target"
104,Upper,Expected
104,Upper,"Expected, Target"
34,Lower,Expected
34,Lower,"Expected, Target"
64,Middle,Expected
64,Middle,Expected
64,Middle,Expected
64,Middle,"Expected, Target"
114,Upper,Expected
114,Upper,Expected
114,Upper,"Expected, Target"
44,Middle,Expected
44,Middle,Expected
44,Middle,Expected
44,Middle,Expected
44,Middle,Expected
44,Middle,"Expected, Target"
24,Middle,Irrelevant
24,Middle,Irrelevant
24,Middle,Irrelevant
54,Middle,Expected
54,Lower,Irrelevant
54,Middle,"Expected, Target"
94,Middle,Irrelevant
94,Upper,Expected
94,Upper,"Expected, Target"
5,Middle,Irrelevant
5,Lower,Expected
5,Lower,Expected
75,Middle,Expected
75,Middle,Expected
75,Middle,"Expected, Target"
55,Middle,Expected
55,Upper,Expected
55,Middle,Expected
55,Middle,Expected
65,Middle,Expected
65,Middle,Expected
65,Middle,Expected
65,Middle,Expected
65,Middle,Expected
65,Middle,Expected
95,Middle,Irrelevant
95,Upper,Expected
95,Upper,Expected
95,Upper,"Expected, Target"
95,Upper,"Expected, Target"
95,Upper,Expected
95,Upper,Expected
95,Upper,Expected
95,Upper,Expected
95,Upper,Expected
45,Middle,Expected
45,Middle,Expected
45,Middle,"Expected, Target"
15,Middle,Expected
15,Middle,"Expected, Target"
15,Middle,"Expected, Target"
15,Middle,Expected
105,Middle,Irrelevant
105,Middle,Irrelevant
105,Upper,Expected
105,Upper,"Expected, Target"
25,Middle,Irrelevant
25,Lower,Expected
25,Lower,"Expected, Target"
85,Middle,Irrelevant
85,Upper,"Expected, Target"
115,Upper,Expected
115,Upper,Expected
115,Upper,"Expected, Target"
35,Lower,Expected
35,Lower,Expected
35,Lower,"Expected, Target"
35,Lower,"Expected, Target"
35,Lower,Expected
35,Lower,"Expected, Target"
6,Middle,Irrelevant
6,Middle,Irrelevant
6,Lower,Expected
6,Middle,Irrelevant
6,Lower,Expected
6,Lower,"Expected, Target"
86,Middle,Irrelevant
86,Middle,Irrelevant
86,Middle,Irrelevant
86,Middle,Irrelevant
86,Upper,Expected
86,Upper,"Expected, Target"
86,Upper,"Expected, Target"
16,Middle,Irrelevant
16,Middle,Irrelevant
16,Upper,Irrelevant
16,Middle,Irrelevant
16,Lower,"Expected, Target"
16,Lower,"Expected, Target"
16,Lower,Expected
16,Middle,Irrelevant
16,Middle,Irrelevant
16,Lower,Expected
16,Lower,Expected
26,Middle,Irrelevant
26,Middle,Irrelevant
26,Lower,Expected
26,Lower,Expected
26,Middle,Irrelevant
26,Middle,Irrelevant
26,Lower,Expected
26,Lower,"Expected, Target"
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Lower,Irrelevant
106,Lower,Irrelevant
106,Lower,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Lower,Irrelevant
106,Middle,Irrelevant
106,Upper,"Expected, Target"
106,Upper,"Expected, Target"
106,Upper,"Expected, Target"
106,Upper,"Expected, Target"
106,Upper,"Expected, Target"
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Upper,Expected
106,Upper,Expected
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
106,Middle,Irrelevant
56,Middle,Expected
56,Middle,Expected
56,Middle,Expected
56,Middle,"Expected, Target"
56,Middle,Expected
66,Middle,Expected
66,Middle,"Expected, Target"
66,Middle,"Expected, Target"
116,Middle,Irrelevant
116,Upper,"Expected, Target"
116,Upper,"Expected, Target"
76,Middle,Expected
76,Middle,Expected
76,Middle,"Expected, Target"
36,Middle,Irrelevant
36,Lower,Expected
36,Lower,"Expected, Target"
46,Upper,Expected
46,Upper,Expected
46,Upper,Expected
46,Lower,Irrelevant
46,Lower,Irrelevant
46,Middle,Irrelevant
46,Upper,"Expected, Target"
96,Middle,Irrelevant
96,Upper,Expected
96,Upper,Expected
96,Upper,Expected
96,Upper,"Expected, Target"
57,Middle,Expected
57,Middle,Expected
57,Upper,Irrelevant
57,Middle,Expected
57,Middle,Expected
57,Middle,"Expected, Target"
87,Middle,Irrelevant
87,Middle,Irrelevant
87,Upper,Expected
87,Middle,Irrelevant
87,Upper,"Expected, Target"
107,Middle,Irrelevant
107,Upper,"Expected, Target"
7,Middle,Irrelevant
7,Middle,Irrelevant
7,Lower,Expected
7,Lower,Expected
17,Middle,Irrelevant
17,Middle,Irrelevant
17,Lower,Expected
117,Middle,Irrelevant
117,Upper,Expected
77,Upper,Irrelevant
77,Middle,Expected
97,Middle,Irrelevant
97,Middle,Irrelevant
97,Upper,Expected
97,Upper,Expected
97,Upper,"Expected, Target"
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Upper,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Lower,Expected
27,Lower,Expected
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Lower,Expected
27,Lower,Expected
27,Lower,Expected
27,Upper,Irrelevant
27,Upper,Irrelevant
27,Middle,Irrelevant
27,Upper,Irrelevant
27,Upper,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Lower,Expected
27,Middle,Irrelevant
27,Middle,Irrelevant
27,Middle,Irrelevant
47,Middle,Expected
47,Middle,Expected
47,Upper,Irrelevant
47,Upper,Irrelevant
47,Lower,Irrelevant
47,Lower,Irrelevant
47,Lower,Irrelevant
47,Upper,Irrelevant
47,Upper,Irrelevant
47,Upper,Irrelevant
47,Middle,"Expected, Target"
67,Middle,Expected
67,Middle,Expected
67,Middle,Expected
67,Middle,Expected
67,Upper,Irrelevant
67,Middle,"Expected, Target"
67,Middle,Expected
67,Middle,"Expected, Target"
37,Middle,Irrelevant
37,Lower,Expected
58,Middle,Irrelevant
58,Lower,Expected
58,Middle,Irrelevant
58,Middle,Irrelevant
58,Lower,Expected
78,Upper,Irrelevant
78,Middle,Expected
78,Middle,Expected
78,Middle,"Expected, Target"
108,Middle,Irrelevant
108,Upper,Expected
38,Middle,Irrelevant
38,Lower,Expected
38,Lower,Expected
38,Middle,Irrelevant
118,Middle,Irrelevant
118,Upper,Expected
118,Upper,Expected
68,Middle,Expected
68,Middle,Expected
68,Middle,Expected
68,Middle,Expected
68,Middle,Expected
68,Middle,"Expected, Target"
68,Middle,Expected
98,Middle,Irrelevant
98,Middle,Irrelevant
98,Upper,Expected
98,Upper,Expected
98,Upper,"Expected, Target"
28,Middle,Irrelevant
28,Lower,"Expected, Target"
28,Lower,Expected
88,Middle,Irrelevant
88,Middle,Irrelevant
88,Middle,Irrelevant
88,Middle,Irrelevant
88,Upper,Expected
88,Upper,"Expected, Target"
8,Middle,Expected
8,Middle,Expected
8,Middle,Expected
48,Middle,Expected
48,Middle,Expected
48,Upper,Irrelevant
48,Middle,Expected
18,Middle,Irrelevant
18,Middle,Irrelevant
18,Lower,Expected
18,Middle,Irrelevant
119,Upper,Irrelevant
119,Upper,Expected
119,Upper,Expected
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Upper,Expected
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Lower,Irrelevant
99,Lower,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Lower,Irrelevant
99,Lower,Irrelevant
99,Lower,Irrelevant
99,Lower,Irrelevant
99,Middle,Irrelevant
99,Upper,Expected
99,Upper,Expected
99,Upper,Expected
99,Upper,Expected
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Upper,Expected
99,Upper,"Expected, Target"
99,Middle,Irrelevant
99,Middle,Irrelevant
99,Upper,Expected
99,Upper,Expected
99,Upper,Expected
99,Upper,"Expected, Target"
99,Upper,Expected
99,Upper,"Expected, Target"
99,Upper,Expected
99,Upper,Expected
99,Upper,Expected
99,Upper,Expected
99,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Lower,"Irrelevant, Target"
9,Middle,"Irrelevant, Target"
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Lower,Irrelevant
9,Middle,Irrelevant
9,Middle,Irrelevant
9,Middle,Expected
9,Lower,Irrelevant
9,Middle,Irrelevant
9,Lower,"Irrelevant, Target"
79,Middle,Irrelevant
79,Lower,Irrelevant
79,Middle,Irrelevant
79,Middle,"Irrelevant, Target"
79,Middle,"Irrelevant, Target"
79,Middle,Irrelevant
79,Middle,Irrelevant
79,Middle,Irrelevant
19,Middle,Irrelevant
19,Middle,Irrelevant
19,Middle,Irrelevant
19,Middle,Irrelevant
19,Middle,Irrelevant
19,Middle,"Irrelevant, Target"
19,Lower,Irrelevant
19,Middle,Irrelevant
19,Middle,Irrelevant
29,Middle,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Middle,Expected
29,Middle,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
29,Middle,Irrelevant
29,Middle,Expected
29,Upper,Expected
29,Upper,Expected
29,Middle,Irrelevant
29,Middle,Expected
29,Lower,Irrelevant
29,Middle,Irrelevant
29,Middle,Irrelevant
29,Middle,Irrelevant
29,Middle,Irrelevant
29,Middle,Irrelevant
29,Lower,Irrelevant
29,Lower,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Upper,"Expected, Target"
89,Upper,Expected
89,Upper,Expected
89,Lower,Irrelevant
89,Lower,Irrelevant
89,Upper,Expected
89,Upper,Expected
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Upper,Expected
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Expected
89,Middle,Expected
89,Upper,Expected
89,Upper,Expected
89,Upper,Expected
89,Lower,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Irrelevant
89,Middle,Expected
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Upper,Expected
39,Upper,Expected
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
39,Middle,Irrelevant
59,Middle,Irrelevant
59,Middle,Irrelevant
59,Middle,Irrelevant
59,Middle,Irrelevant
59,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Expected
49,Upper,Expected
49,Middle,Expected
49,Middle,Expected
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Lower,"Irrelevant, Target"
49,Middle,Expected
49,Upper,Expected
49,Upper,Expected
49,Middle,Expected
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Expected
49,Middle,Expected
49,Upper,Expected
49,Upper,Expected
49,Middle,Expected
49,Middle,Expected
49,Middle,Irrelevant
49,Middle,Irrelevant
49,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Lower,Irrelevant
121,Lower,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
121,Middle,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
50,Lower,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Middle,Irrelevant
50,Lower,Irrelevant
