Cond,Item,Con_X1,Con_Y1,Con_X2,Con_Y2,Incon_X1,Incon_Y1,Incon_X2,InconY2
1,1,432,551,500,590,536,428,586,470
1,2,0,424,95,508,174,284,270,341
1,3,70,550,102,582,577,274,609,306
1,4,690,453,719,493,651,201,684,241
1,5,704,478,780,543,131,16,209,74
1,6,103,543,186,593,135,257,216,311
1,7,622,539,708,599,2,343,78,401
1,8,716,315,798,528,146,60,229,257
1,9,1,409,84,591,641,280,725,456
1,10,649,508,706,597,8,235,56,294
1,11,0,424,67,564,692,304,764,439
1,12,478,519,699,593,144,318,409,398
1,13,186,551,249,591,547,384,599,433
1,14,165,427,218,519,659,217,712,298
1,15,180,362,292,503,467,1,579,147
1,16,140,498,251,599,151,292,260,373
1,17,78,488,128,565,5,23,56,97
1,18,103,403,172,458,711,297,776,345
1,19,47,406,172,553,89,256,214,401
1,20,39,424,155,580,678,329,791,484
1,21,404,465,498,599,0,103,85,248
1,22,596,547,660,599,632,392,689,431
1,23,30,461,86,547,762,49,799,124
1,24,8,459,118,522,435,136,539,193
1,25,412,578,648,599,313,148,327,395
1,26,105,457,182,599,0,92,70,228
1,27,727,369,799,494,1,0,78,120
1,28,134,432,185,521,524,106,570,182
1,29,15,457,68,522,747,127,799,190
1,30,468,498,537,533,545,86,613,124
1,31,610,562,799,599,58,66,100,229
1,32,577,549,617,578,401,131,431,162
1,33,486,512,569,543,75,11,158,42
1,34,606,486,698,514,98,432,192,463
1,35,615,499,799,599,57,190,144,291
1,36,241,462,286,508,203,338,250,386
1,37,504,579,799,599,654,111,799,175
1,38,190,443,266,488,632,193,697,242
1,39,666,374,799,508,391,0,533,85
1,40,434,573,529,590,168,442,234,464
1,41,29,308,70,392,567,150,611,221
1,42,635,225,701,324,636,0,694,83
1,43,1,170,107,402,695,372,799,599
1,44,481,330,559,378,336,93,396,136
1,45,207,255,264,362,731,11,799,123
1,46,657,270,703,344,63,503,109,578
1,47,12,257,95,355,1,445,57,556
1,48,780,252,799,445,692,203,714,367
1,49,266,337,317,456,37,466,87,584
1,50,223,361,248,393,360,99,384,129
1,51,648,334,682,354,697,495,734,515
1,52,144,267,195,356,608,41,650,131
1,53,104,316,205,345,577,227,680,253
1,54,602,290,707,336,172,424,227,469
1,55,737,286,786,368,560,52,602,132
1,56,144,314,234,405,82,146,159,239
1,57,9,260,39,376,312,416,344,535
1,58,339,405,361,514,353,57,367,157
1,59,183,335,206,379,345,558,371,598
1,60,629,316,731,440,190,485,293,599
1,61,75,369,141,427,293,543,359,599
1,62,527,329,581,366,570,527,626,565
1,63,381,272,430,314,311,132,360,174
1,64,57,296,133,363,30,100,107,144
1,65,105,334,164,397,613,123,663,187
1,66,43,298,184,369,575,535,714,599
1,67,129,232,217,283,711,407,777,458
1,68,305,246,324,302,565,437,584,495
1,69,139,299,196,337,338,47,393,86
1,70,0,242,51,388,748,463,799,599
1,71,631,282,657,336,658,506,683,562
1,72,226,250,255,325,431,74,461,148
1,73,204,245,247,335,83,48,126,133
1,74,693,272,768,324,584,544,658,598
1,75,469,254,542,339,693,152,771,243
1,76,154,253,223,332,714,470,783,549
1,77,671,230,751,424,0,337,70,533
1,78,166,322,224,385,629,499,688,562
1,79,104,280,158,306,391,501,446,527
1,80,729,302,792,331,19,53,82,84
1,81,669,155,729,314,54,95,115,249
1,82,282,0,482,76,1,198,76,399
1,83,87,126,148,154,38,360,108,399
1,84,741,111,791,164,229,368,278,421
1,85,578,72,649,198,643,324,772,392
1,86,446,148,588,271,684,303,799,427
1,87,132,0,215,101,520,318,582,452
1,88,611,96,724,191,699,398,799,510
1,89,74,76,151,149,457,300,537,346
1,90,294,83,338,133,732,416,799,525
1,91,77,73,106,154,74,328,153,356
1,92,131,72,190,136,99,509,175,547
1,93,704,164,799,262,0,514,71,599
1,94,701,19,753,169,753,318,799,467
1,95,26,38,270,181,600,305,799,432
1,96,702,0,799,57,544,396,603,516
1,97,468,2,551,155,689,391,772,546
1,98,6,0,136,89,700,483,795,599
1,99,657,1,732,94,127,194,206,245
1,100,219,146,249,218,706,364,739,434
1,101,62,124,117,192,204,305,255,357
1,102,486,121,535,173,575,369,619,422
1,103,18,96,107,170,716,410,799,485
1,104,612,5,644,89,97,246,127,333
1,105,0,1,73,200,394,451,568,553
1,106,478,1,556,180,1,238,59,394
1,107,701,64,755,119,81,558,148,585
1,108,47,1,145,106,10,471,101,556
1,109,138,149,153,165,523,401,539,417
1,110,99,0,228,173,328,474,457,599
1,111,108,99,162,153,526,522,587,586
1,112,203,0,341,86,43,512,152,599
1,113,1,144,88,266,174,374,297,449
1,114,588,1,799,112,0,348,112,599
1,115,30,0,83,107,683,532,790,583
1,116,585,0,687,166,698,287,799,449
1,117,359,1,627,65,568,537,799,599
1,118,33,33,107,143,640,449,799,479
1,119,686,0,799,215,258,504,465,599
1,120,218,7,371,226,22,392,135,599
1,121,766,362,799,389,423,451,454,473
2,1,432,551,500,590,536,428,586,470
2,2,0,424,95,508,174,284,270,341
2,3,70,550,102,582,577,274,609,306
2,4,690,453,719,493,651,201,684,241
2,5,704,478,780,543,131,16,209,74
2,6,103,543,186,593,135,257,216,311
2,7,622,539,708,599,2,343,78,401
2,8,716,315,798,528,146,60,229,257
2,9,1,409,84,591,641,280,725,456
2,10,649,508,706,597,8,235,56,294
2,11,0,424,67,564,692,304,764,439
2,12,478,519,699,593,144,318,409,398
2,13,186,551,249,591,547,384,599,433
2,14,165,427,218,519,659,217,712,298
2,15,180,362,292,503,467,1,579,147
2,16,140,498,251,599,151,292,260,373
2,17,78,488,128,565,5,23,56,97
2,18,103,403,172,458,711,297,776,345
2,19,47,406,172,553,89,256,214,401
